2 0 2.165
3 0 0.615
4 0 0.777
5 1 2.644 177.40650406504068 44 150 300
6 0 0.603
7 0 0.618
8 0 0.615
9 2 3.305 150.87804878048777 114.42073170731703 150 300 306.8414634146341 133.24390243902434 150 300
10 0 0.779
11 1 2.673 279.26829268292687 100.12195121951223 150 300
12 1 1.92 318 42.78048780487805 150 300
13 0 0.613
14 1 2.209 250.3943089430894 74.97357723577235 150 300
15 1 2.409 20.05284552845528 36.5589430894309 150 300
16 0 0.619
17 0 0.618
18 0 0.539
19 1 2.347 0 108.73170731707319 150 300
20 0 0.924
21 0 0.693
22 1 1.915 376.7682926829268 161.890243902439 150 300
23 0 0.629
24 1 2.064 100.9390243902439 75.10975609756096 150 300
25 1 2.076 232.5 53.25 150 300
26 0 0.578
27 1 2.488 102.8109756097561 32.23780487804879 150 300
28 1 2.369 5.640243902439025 18.292682926829258 150 300
29 0 1.105
30 0 0.58
31 1 2.156 296.44308943089425 113.0691056910569 150 300
32 1 1.844 441.3902439024389 147.69512195121945 150 300
33 0 0.712
34 0 0.613
35 0 0.548
36 0 0.603
37 0 0.543
38 0 0.572
39 0 0.587
40 0 0.601
41 0 0.656
42 0 0.577
43 0 0.615
44 1 3.378 36.451219512195124 129.130081300813 150 300
45 0 0.682
46 0 0.645
47 0 0.581
48 0 0.872
49 1 1.745 94.6260162601626 114.32520325203251 150 300
50 0 0.663
51 0 0.603
52 0 0.53
53 0 0.617
54 0 0.598
55 0 0.742
56 0 0.583
57 0 0.592
58 1 3.615 84.52487821851045 78.85386221294436 230.11691022964584 400.14613778705564
59 0 0.762
60 0 0.565
61 0 0.618
62 0 0.67
63 0 0.678
64 0 0.642
65 1 2.51 204.84756097560972 100.60975609756096 150 300
66 1 1.793 210 46.28252032520325 150 300
67 0 0.66
68 0 0.566
69 0 0.612
70 0 0.57
71 1 2.893 213 32.239837398373965 150 300
72 0 0.666
73 0 0.582
74 1 1.891 152.8658536585366 51.54471544715449 150 300
2 2 3.56 581.5134099616859 62.40139734054543 150 300 363.2352941176471 33.85733603786343 150 300
3 0 1.078
4 0 0.97
5 1 1.65 280.2642276422764 132.3658536585366 150 300
6 1 1.911 437.21138211382106 107.8780487804878 150 300
7 0 1.015
8 1 1.6 258.37601626016266 52.31910569105696 150 300
9 0 1.066
10 1 1.844 0 56.24999999999997 150 300
11 2 2.755 74.02439024390245 56.34146341463418 150 300 211.58536585365857 47.17073170731709 150 300
12 1 1.55 101.1341463414634 98.5060975609756 150 300
13 0 0.796
14 0 0.932
15 1 1.824 130.2129817444219 96.05138607167004 150 300
16 0 0.668
17 1 1.992 270.6626016260162 38.39430894308941 150 300
18 0 0.614
19 0 0.67
20 0 0.657
21 0 0.639
22 0 0.701
23 0 0.86
24 0 0.56
25 1 1.599 73.67073170731703 19.71544715447152 150 300
26 2 2.427 313.33333333333337 78.33333333333334 150 300 169.16666666666669 96.66666666666669 150 300
27 0 0.645
28 0 0.68
29 0 0.532
30 0 0.677
31 1 1.382 253.9430894308943 31.056910569105696 150 300
32 0 0.659
33 1 2.167 0 44.70528455284551 150 300
34 1 2.837 85.39430894308941 70.4349593495935 150 300
35 3 3.905 402.8414634146342 34.39227642276424 150 300 161.0508130081301 24.347560975609753 150 300 75.67073170731709 25.78252032520325 150 300
36 0 0.674
37 1 1.303 194.52439024390247 16.756097560975633 150 300
38 0 0.575
39 0 0.637
40 1 1.448 189.84146341463412 23.085365853658544 150 300
41 0 0.652
42 1 1.555 245.22764227642273 26.894308943089413 150 300
43 0 0.676
44 1 1.367 48.92276422764229 27.03252032520328 150 300
45 0 0.698
46 0 1.17
47 1 1.948 263.2642276422764 3.3089430894308975 150 300
48 0 0.73
49 0 0.837
50 0 0.663
51 1 1.604 33.59756097560977 41.29878048780489 150 300
52 0 0.644
53 0 0.612
54 0 0.606
55 2 2.61 95.760162601626 37.97967479674796 150 300 0 21.477642276422756 150 300
56 0 0.608
57 1 2.361 119.57723577235771 54.195121951219505 150 300
58 0 0.81
59 0 0.594
60 0 0.984
61 0 1.258
62 2 2.422 161.890243902439 15 150 300 57.53048780487805 13.262195121951208 150 300
63 1 1.587 103.5569105691057 37.804878048780495 150 300
64 1 1.218 220 14.272357723577244 150 300
65 0 0.806
66 2 2.779 271.79878048780495 15.396341463414643 150 300 3.5060975609756184 55.03048780487808 150 300
67 0 0.715
68 0 1.027
69 1 1.552 23.17073170731706 30.914634146341427 150 300
